[2025-04-22T04:40:04.814Z] IP: ::ffff:127.0.0.1 | Ruta: /joyas | Método: GET | Estado: 200 | Tiempo: 7ms | User-Agent: Thunder Client (https://www.thunderclient.com) | Parámetros: {}
[2025-04-22T04:40:16.326Z] IP: ::ffff:127.0.0.1 | Ruta: /joyas | Método: GET | Estado: 200 | Tiempo: 7ms | User-Agent: Thunder Client (https://www.thunderclient.com) | Parámetros: {"limits":"3","page":"2","order_by":"stock_ASC"}
[2025-04-22T04:40:21.904Z] IP: ::ffff:127.0.0.1 | Ruta: /joyas/filtros | Método: GET | Estado: 200 | Tiempo: 2ms | User-Agent: Thunder Client (https://www.thunderclient.com) | Parámetros: {"precio_min":"25000","precio_max":"30000","categoria":"aros","metal":"plata"}
[2025-04-22T04:45:55.269Z] IP: ::1 | Ruta: /joyas | Método: GET | Estado: 200 | Tiempo: 2ms | User-Agent: curl/8.7.1 | Parámetros: {"limits":"3","page":"2","order_by":"stock_ASC"}
[2025-04-22T04:46:21.084Z] IP: ::ffff:127.0.0.1 | Ruta: /joyas | Método: GET | Estado: 200 | Tiempo: 8ms | User-Agent: Thunder Client (https://www.thunderclient.com) | Parámetros: {}
[2025-04-22T04:46:24.283Z] IP: ::ffff:127.0.0.1 | Ruta: /joyas | Método: GET | Estado: 200 | Tiempo: 1ms | User-Agent: Thunder Client (https://www.thunderclient.com) | Parámetros: {"limits":"3","page":"2","order_by":"stock_ASC"}
[2025-04-22T04:46:27.658Z] IP: ::ffff:127.0.0.1 | Ruta: /joyas/filtros | Método: GET | Estado: 200 | Tiempo: 2ms | User-Agent: Thunder Client (https://www.thunderclient.com) | Parámetros: {"precio_min":"25000","precio_max":"30000","categoria":"aros","metal":"plata"}
[2025-04-22T04:47:18.825Z] IP: ::1 | Ruta: /joyas | Método: GET | Estado: 200 | Tiempo: 5ms | User-Agent: PostmanRuntime/7.43.3 | Parámetros: {}
[2025-04-22T04:47:34.437Z] IP: ::1 | Ruta: /joyas | Método: GET | Estado: 200 | Tiempo: 5ms | User-Agent: PostmanRuntime/7.43.3 | Parámetros: {}
[2025-04-22T04:47:43.192Z] IP: ::1 | Ruta: /joyas | Método: GET | Estado: 200 | Tiempo: 1ms | User-Agent: PostmanRuntime/7.43.3 | Parámetros: {"limits":"3","page":"2","order_by":"stock_ASC"}
[2025-04-22T04:47:55.391Z] IP: ::1 | Ruta: /joyas/filtros | Método: GET | Estado: 200 | Tiempo: 6ms | User-Agent: PostmanRuntime/7.43.3 | Parámetros: {"precio_min":"25000","precio_max":"30000","categoria":"aros","metal":"plata"}
